,Track_ID,Track_Name,Artist_Name,Artist_ID,Artist_followers,Artist_genres,Artist_popularity
144,1hrHUEYoVBC1hNCXkX7tIA,Summer Cem (feat. Luciano),Summer Cem,3drqpTL4sQOckmAfF9i1wg,777139,['german hip hop'],82
145,0y675KDleCZEudjoeL1sQQ,Feelings,Lauv,5JZ7CnR6gTvEMKX4g70Amv,1959296,['pop'],90
146,1KdwnsWOvhM53vezy5ROuf,No Te Debí Besar,C. Tangana,5TYxZTjIPqKM8K8NuP9woO,785026,['trap espanol'],79
148,0u7aRGM7YmvtsmG5NSrNsO,Feel Special,TWICE,7n2Ycct7Beij7Dj7meI4X0,4256972,"['k-pop', 'k-pop girl group']",83
149,7Cuk8jsPPoNYQWXK9XRFvG,September,"Earth, Wind & Fire",4QQgXkCYTt3BlENzhyNETg,2067923,"['disco', 'funk', 'jazz funk', 'motown', 'quiet storm', 'soul']",77
150,0rKtyWc8bvkriBthvHKY8d,SLOW DANCING IN THE DARK,Joji,3MZsBdqDrRTJihTHQrO6Dq,1912482,"['alternative r&b', 'pop', 'viral pop']",85
152,0rFQ5cKYJ9WtHSKp9sxVYt,Heartless (feat. Morgan Wallen),Diplo,5fMUXHkw8R8eOP2RNVYEZX,2134259,"['bmore', 'edm', 'moombahton', 'ninja', 'pop', 'pop rap']",90
155,6zegtH6XXd2PDPLvy1Y0n2,Don’t Call Me Angel (Charlie’s Angels) (with Miley Cyrus & Lana Del Rey),Ariana Grande,66CXWjxzNUsdJxJ2JdwvnR,38897364,"['dance pop', 'pop', 'post-teen pop']",96
156,6V9fHiv84WlVTg7CSnIVY2,Graveyard,Halsey,26VFTg2z8YR0cCuwLzESi2,8469385,"['dance pop', 'electropop', 'etherpop', 'indie poptimism', 'pop', 'post-teen pop']",91
157,1c0hsvHLELX6y8qymnpLKL,Soltera - Remix,Lunay,47MpMsUfWtgyIIBEFOr4FE,1090195,"['latin', 'reggaeton flow']",88
158,5r7WvQtyPfy1xch5zMgGRp,Behind Barz - Bonus,Drake,3TVXtAsR1Inumwj472S9r4,42543081,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap', 'toronto rap']",98
159,4sWuPniHClkInYAnzXAYUF,Camelot,NLE Choppa,0ErzCpIMyLcjPiwT4elrtZ,567673,['memphis hip hop'],84
160,1RKZvaLj3UPhGjZkaIrFm7,Que Calor (feat. J Balvin & El Alfa),Major Lazer,738wLrAtLtCtFOLvQBXOXp,5806998,"['dance pop', 'edm', 'electro house', 'moombahton', 'pop']",86
161,4SDgTLDYrJ2UrHbkRkg7MD,Panini - DaBaby Remix,Lil Nas X,7jVv8c5Fj3E9VhNjxT4snq,1813504,"['country rap', 'lgbtq+ hip hop', 'pop rap']",87
162,1AGjF8pckOxTGeb5zubyqH,Genick,Loredana,2Im8m4STDBosjfmb5hmP80,480320,['kosovan pop'],77
163,2xE16muNCmhZwSOv3i1d1H,Mood Swings,A Boogie Wit da Hoodie,31W5EY0aAly4Qieq6OFu6I,3698466,"['melodic rap', 'pop rap', 'rap', 'trap']",91
164,1ndyl3wJCFs872XZ3ztPk6,"DJ No Pare (feat. Zion, Dalex, Lenny Tavárez) - Remix",Justin Quiles,14zUHaJZo1mnYtn6IBRaRP,1390752,"['latin', 'reggaeton']",90
167,4ZLzoOkj0MPWrTLvooIuaa,Get You The Moon (feat. Snøw),Kina,4qIVPF0s71ZYW3qzhu5GkF,213522,['pop'],80
169,0s5DNDV6LAKn2u2Ufa3VjQ,Desconocidos,Mau y Ricky,2wkoKEfS6dXwThbyTnZWFU,1430810,"['latin', 'latin pop', 'reggaeton']",83
170,21jGcNKet2qwijlDFuPiPb,Circles,Post Malone,246dkjvS1zLTtiykXe5h60,19826966,"['dfw rap', 'melodic rap', 'rap']",100
171,3RIgHHpnFKj5Rni1shokDj,Norman fucking Rockwell,Lana Del Rey,00FQb4jTyendYWaN8pK0wa,9418027,"['art pop', 'pop']",89
172,643PW82aBMUa1FiWi5VQY7,Babushka Boi,A$AP Rocky,13ubrt8QOOCPljQ2FL1Kca,6180940,"['east coast hip hop', 'hip hop', 'pop rap', 'rap', 'trap']",88
173,0Oqc0kKFsQ6MhFOLBNZIGX,Doin' Time,Lana Del Rey,00FQb4jTyendYWaN8pK0wa,9418027,"['art pop', 'pop']",89
174,6cjSh516BbrNUs213jDAGm,Graduation (with Juice WRLD),benny blanco,5CiGnKThu5ctn9pBxv7DGa,419032,"['dance pop', 'pop', 'pop rap', 'tropical house']",81
175,6eSU1exzDvBEXmBRxspeh5,Shots,Lil Tecca,4Ga1P7PMIsmqEZqhYZQgDo,1175953,['melodic rap'],89
176,6gBFPUFcJLzWGx4lenP6h2,goosebumps,Travis Scott,0Y5tJX1MQlPlqiwlOH1tJY,7191718,"['pop rap', 'rap']",97
177,2mdEsXPu8ZmkHRRtAdC09e,Cinnamon Girl,Lana Del Rey,00FQb4jTyendYWaN8pK0wa,9418027,"['art pop', 'pop']",89
179,6OG05bPAwUuV3OMvy2Vy1P,Mariners Apartment Complex,Lana Del Rey,00FQb4jTyendYWaN8pK0wa,9418027,"['art pop', 'pop']",89
180,2B9wgj9XzbJZLty03PRbVo,Bezerk (feat. A$AP Ferg & Hit-Boy),Big Sean,0c173mlxpT3dSFRgMO8XPh,6804213,"['detroit hip hop', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",86
181,4E6cwWJWZw2zWf7VFbH7wf,Love Song,Sara Bareilles,2Sqr0DXoaYABbjBo9HaMkM,1302444,"['acoustic pop', 'lilith', 'neo mellow', 'pop', 'pop rock']",75
182,3Z6gIq0qPBEpvL2pJRczFD,Up In Smoke,Jason Aldean,3FfvYsEGaIb52QPXhg4DcH,3449480,"['contemporary country', 'country', 'country road']",81
183,3hwQhakFwm9soLEBnSDH17,Venice Bitch,Lana Del Rey,00FQb4jTyendYWaN8pK0wa,9418027,"['art pop', 'pop']",89
184,684EjRHwNsZQ9hCQxL4NYL,"El Favor (with Nicky Jam & Sech, feat. Farruko, Zion & Lunay)",Dimelo Flow,3fZk3Gm5dN5v5yfYMQ04Bx,51289,"['reggaeton flow', 'trap latino']",80
185,3swc6WTsr7rl9DqQKQA55C,Psycho (feat. Ty Dolla $ign),Post Malone,246dkjvS1zLTtiykXe5h60,19826966,"['dfw rap', 'melodic rap', 'rap']",100
186,0RLLvYBopDwooCyvnTwgYu,F.N,Lil Tjay,6jGMq4yGs7aQzuGsMgVgZR,665517,"['melodic rap', 'nyc rap']",86
187,2pXpURmn6zC5ZYDMms6fwa,It's Beginning to Look a Lot Like Christmas,Perry Como,5v8jlSmAQfrkTjAlpUfWtu,202238,"['adult standards', 'brill building pop', 'easy listening', 'vocal jazz']",73
188,3a1lNhkSLSkpJE4MSHpDu9,Congratulations,Post Malone,246dkjvS1zLTtiykXe5h60,19826966,"['dfw rap', 'melodic rap', 'rap']",100
189,40riOy7x9W7GXjyGp4pjAv,Hotel California - 2013 Remaster,Eagles,0ECwFtbIWEVNwjlrfc6xoL,4069223,"['album rock', 'classic rock', 'folk rock', 'heartland rock', 'mellow gold', 'rock', 'singer-songwriter', 'soft rock', 'yacht rock']",80
190,3KkXRkHbMCARz0aVfEt68P,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,246dkjvS1zLTtiykXe5h60,19826966,"['dfw rap', 'melodic rap', 'rap']",100
