,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
10,0.525,0.621,7,-7.364,1,0.116,0.0489,0.0,0.294,0.591,191.9,0.621,0lizgQ7Qw35od7CYaoMBZb,spotify:track:0lizgQ7Qw35od7CYaoMBZb,https://api.spotify.com/v1/tracks/0lizgQ7Qw35od7CYaoMBZb,https://api.spotify.com/v1/audio-analysis/0lizgQ7Qw35od7CYaoMBZb,204093,4
11,0.87,0.706,9,-5.395,0,0.126,0.0253,0.0063,0.0872,0.593,100.013,0.706,2rc7BkzO8qepMFAxHtOrXc,spotify:track:2rc7BkzO8qepMFAxHtOrXc,https://api.spotify.com/v1/tracks/2rc7BkzO8qepMFAxHtOrXc,https://api.spotify.com/v1/audio-analysis/2rc7BkzO8qepMFAxHtOrXc,145800,4
12,0.816,0.63,2,-5.568,1,0.226,0.133,0.0,0.0692,0.715,96.493,0.63,6LcauUZjF1eXQrgqMUecHX,spotify:track:6LcauUZjF1eXQrgqMUecHX,https://api.spotify.com/v1/tracks/6LcauUZjF1eXQrgqMUecHX,https://api.spotify.com/v1/audio-analysis/6LcauUZjF1eXQrgqMUecHX,131607,4
13,0.655,0.814,5,-5.472,0,0.0823,0.0698,0.0,0.107,0.69,180.082,0.814,5YxP1CkunbhUQVvctFOHa7,spotify:track:5YxP1CkunbhUQVvctFOHa7,https://api.spotify.com/v1/tracks/5YxP1CkunbhUQVvctFOHa7,https://api.spotify.com/v1/audio-analysis/5YxP1CkunbhUQVvctFOHa7,161266,4
14,0.726,0.444,8,-8.922,0,0.372,0.283,0.143,0.177,0.569,185.044,0.444,6IRdLKIyS4p7XNiP8r6rsx,spotify:track:6IRdLKIyS4p7XNiP8r6rsx,https://api.spotify.com/v1/tracks/6IRdLKIyS4p7XNiP8r6rsx,https://api.spotify.com/v1/audio-analysis/6IRdLKIyS4p7XNiP8r6rsx,168840,4
15,0.481,0.805,5,-4.132,1,0.0419,0.0261,0.0,0.267,0.373,123.441,0.805,4bDPr2VAjcfgUDmN9dGOC3,spotify:track:4bDPr2VAjcfgUDmN9dGOC3,https://api.spotify.com/v1/tracks/4bDPr2VAjcfgUDmN9dGOC3,https://api.spotify.com/v1/audio-analysis/4bDPr2VAjcfgUDmN9dGOC3,201453,4
16,0.861,0.572,6,-6.537,0,0.415,0.382,0.0,0.0853,0.396,90.052,0.572,27qRmG3zOWPvMYUkpPdQ1g,spotify:track:27qRmG3zOWPvMYUkpPdQ1g,https://api.spotify.com/v1/tracks/27qRmG3zOWPvMYUkpPdQ1g,https://api.spotify.com/v1/audio-analysis/27qRmG3zOWPvMYUkpPdQ1g,193363,4
17,0.294,0.505,3,-8.106,1,0.042,0.12,0.0,0.0977,0.357,85.332,0.505,63VyEdzMM3w4ZQ1WtARa2S,spotify:track:63VyEdzMM3w4ZQ1WtARa2S,https://api.spotify.com/v1/tracks/63VyEdzMM3w4ZQ1WtARa2S,https://api.spotify.com/v1/audio-analysis/63VyEdzMM3w4ZQ1WtARa2S,209893,1
18,0.865,0.438,7,-8.943,1,0.0719,0.177,0.0,0.0743,0.695,129.038,0.438,2W4yABdLc4Jnds67Poi5Nl,spotify:track:2W4yABdLc4Jnds67Poi5Nl,https://api.spotify.com/v1/tracks/2W4yABdLc4Jnds67Poi5Nl,https://api.spotify.com/v1/audio-analysis/2W4yABdLc4Jnds67Poi5Nl,223258,4
19,0.882,0.602,11,-5.554,1,0.245,0.0177,0.0,0.178,0.43,142.959,0.602,598yNsG1JFrGd4n2kMoz7F,spotify:track:598yNsG1JFrGd4n2kMoz7F,https://api.spotify.com/v1/tracks/598yNsG1JFrGd4n2kMoz7F,https://api.spotify.com/v1/audio-analysis/598yNsG1JFrGd4n2kMoz7F,183011,4
20,0.692,0.792,7,-5.984,1,0.245,0.13,0.0,0.255,0.566,129.883,0.792,0oR0Wr9N52K1vbAOuGvMJz,spotify:track:0oR0Wr9N52K1vbAOuGvMJz,https://api.spotify.com/v1/tracks/0oR0Wr9N52K1vbAOuGvMJz,https://api.spotify.com/v1/audio-analysis/0oR0Wr9N52K1vbAOuGvMJz,167760,4
21,0.803,0.715,2,-3.28,1,0.298,0.295,0.000134,0.0574,0.574,101.085,0.715,7k4t7uLgtOxPwTpFmtJNTY,spotify:track:7k4t7uLgtOxPwTpFmtJNTY,https://api.spotify.com/v1/tracks/7k4t7uLgtOxPwTpFmtJNTY,https://api.spotify.com/v1/audio-analysis/7k4t7uLgtOxPwTpFmtJNTY,200960,4
22,0.689,0.516,8,-5.857,1,0.0444,0.513,0.0,0.163,0.209,124.876,0.516,1VJwtWR6z7SpZRwipI12be,spotify:track:1VJwtWR6z7SpZRwipI12be,https://api.spotify.com/v1/tracks/1VJwtWR6z7SpZRwipI12be,https://api.spotify.com/v1/audio-analysis/1VJwtWR6z7SpZRwipI12be,190920,4
23,0.704,0.225,6,-14.454,0,0.0994,0.902,0.657,0.106,0.243,120.006,0.225,3ZCTVFBt2Brf31RLEnCkWJ,spotify:track:3ZCTVFBt2Brf31RLEnCkWJ,https://api.spotify.com/v1/tracks/3ZCTVFBt2Brf31RLEnCkWJ,https://api.spotify.com/v1/audio-analysis/3ZCTVFBt2Brf31RLEnCkWJ,245426,4
